,MarketCap,PriceToBook,Beta,DividendYield,Return_6m,Momentum_6m,Volatility,BookValue,PE,PB,ROE,ROA,DebtToEquity
MMM,0.7369614512471655,0.9024943310657594,0.5759637188208617,0.47392290249433106,0.37188208616780044,0.37188208616780044,0.11791383219954649,0.09070294784580499,0.3197278911564626,0.9024943310657594,0.9501133786848073,0.4965986394557823,0.9297871194651086
AOS,0.045351473922902494,0.6462585034013606,0.764172335600907,0.4666386719296772,0.17687074829931973,0.17687074829931973,0.48072562358276644,0.18820861678004536,0.35600907029478457,0.6462585034013606,0.7210884353741497,0.9047619047619048,0.08873699519614325
ABT,0.9297052154194988,0.6213151927437642,0.2675736961451247,0.41043083900226757,0.46938775510204084,0.46938775510204084,0.1836734693877551,0.4444444444444445,0.29705215419501135,0.6213151927437642,0.7528344671201814,0.5804988662131519,0.15943844034490887
ACN,0.9115646258503394,0.7165532879818595,0.8253968253968255,0.45578861174099267,0.29931972789115646,0.29931972789115646,0.272108843537415,0.6666666666666666,0.564625850340136,0.7165532879818595,0.7052154195011338,0.8707482993197279,0.15374959507612565
ADBE,0.8820861678004536,0.870748299319728,0.9319727891156463,,0.03854875283446712,0.03854875283446712,0.6666666666666666,0.4829931972789116,0.5600907029478458,0.870748299319728,0.8820861678004536,0.9682539682539683,0.31214052447135154
AMD,0.8843537414965986,0.42403628117913833,0.9863945578231292,,0.049886621315192746,0.049886621315192746,0.9546485260770975,0.5578231292517007,0.9387755102040817,0.42403628117913833,0.05215419501133787,0.163265306122449,0.052966068812860666
AES,0.020408163265306124,0.3333333333333335,0.4217687074829932,0.9808826881267971,0.5079365079365079,0.5079365079365079,0.6190476190476191,0.04761904761904762,0.0,0.3333333333333335,0.0816326530612245,0.14285714285714285,0.9402774442503405
AFL,0.6575963718820862,0.3129251700680272,0.3287981859410431,0.4943310657596372,0.7437641723356009,0.7437641723356009,0.3242630385487528,0.6757369614512472,0.25170068027210885,0.3129251700680272,0.4489795918367347,0.13378684807256236,0.27088433201103473
A,0.4399092970521542,0.6326530612244898,0.7528344671201814,0.17687074829931976,0.2471655328798186,0.2471655328798186,0.24263038548752835,0.3492063492063492,0.5374149659863946,0.6326530612244898,0.6145124716553289,0.7573696145124716,0.36405761807519776
APD,0.6666666666666667,0.5668934240362812,0.3798185941043084,0.6187845303867403,0.326530612244898,0.326530612244898,0.23582766439909297,0.8344671201814059,0.8095238095238095,0.5668934240362812,0.2585034013605442,0.41950113378684806,0.6210531280213172
ABNB,0.7437641723356009,0.8185941043083901,0.6496598639455782,,0.0816326530612245,0.0816326530612245,0.9705215419501134,0.1836734693877551,0.7052154195011338,0.8185941043083901,0.7732426303854874,0.5691609977324263,0.16782027901429677
