,MarketCap,PriceToBook,Beta,DividendYield,Return_6m,Momentum_6m,Volatility,BookValue,PE,PB,ROE,ROA,DebtToEquity
MMM,76744613888,17.19108,1.076,2.11,0.2328367316801567,0.7438202247191011,0.2571093772585596,8.295,17.758408,17.19108,0.93824,0.05448,312.492
AOS,9704623104,5.2313466,1.278,2.03,0.09928363224598521,0.46292134831460674,0.2902026101982142,13.054,19.07542,5.2313466,0.27969998,0.13352999,15.945
ABT,231816298496,4.749243,0.743,1.76,-0.003935161689239478,0.19775280898876405,0.22916480993300165,28.055,17.303898,4.749243,0.30649,0.063769996,27.087
ACN,192753401856,6.5951247,1.344,1.93,-0.14785431151248746,0.04044943820224719,0.25895096579248794,46.686,25.40429,6.5951247,0.26965,0.11576,26.706
ADBE,163353935872,12.7322855,1.551,,-0.28148478421478906,0.011235955056179775,0.35875112385040914,30.103,25.33245,12.7322855,0.47284,0.17194,50.118
AMD,166744768512,2.878334,1.968,,0.34986792760311836,0.903370786516854,0.5110533868439017,35.729,75.06569,2.878334,0.03904,0.0256,8.174
AES,7916583936,2.282899,0.938,6.77,0.23062016845024108,0.7415730337078652,0.34327961634616716,4.871,6.043478,2.282899,0.05583,0.02399,361.561
AFL,57487982592,2.1826982,0.829,2.17,0.08797835945128053,0.43595505617977526,0.24357309927041199,48.55,16.48056,2.1826982,0.14408,0.02343,42.513
A,30486065152,5.0605774,1.269,0.92,0.031580874492986084,0.2786516853932584,0.2751115897033589,21.13,24.469109,5.0605774,0.20614,0.08392999,58.736
APD,60338356224,4.103678,0.89,2.71,0.01515284406036373,0.23146067415730337,0.26266190251756943,66.07,39.1241,4.103678,0.095790006,0.047020003,98.527
ABNB,78410735616,9.907971,1.146,,0.15759066201696703,0.6134831460674157,0.5099569703617177,12.822,32.243656,9.907971,0.3206,0.06276,28.726
AKAM,11141269504,2.3449273,0.821,,-0.2131913573414812,0.02247191011235955,0.27183870311551644,32.517,23.318043,2.3449273,0.09821,0.03916,100.746
ARE,12813294592,0.721543,1.289,7.34,0.09748922830754046,0.4584269662921348,0.28043715489705895,102.655,97.460526,0.721543,0.01476,0.013040001,61.193
ALGN,13315490816,3.5262415,1.683,,0.1905051222926266,0.6831460674157304,0.525605870266351,51.579,33.12933,3.5262415,0.108430006,0.06719,3.124
ALLE,12206093312,7.5969367,1.036,1.45,0.14429206638054137,0.5820224719101124,0.28027592587563877,18.672,19.922754,7.5969367,0.42051998,0.11533,133.636
LNT,15864475648,2.2634318,0.577,3.28,0.030411766778794033,0.2696629213483146,0.21200410282349882,27.286,22.959106,2.2634318,0.10712,0.02735,149.852
ALL,53662720000,2.6777666,0.316,1.96,0.20401624530801188,0.7056179775280899,0.25517256450264403,75.675,13.850991,2.6777666,0.19723,0.03111,36.672
GOOGL,1861411536896,5.3775744,1.01,0.55,0.30664752927381367,0.8404494382022472,0.30888940200454934,28.405,17.04799,5.3775744,0.34789002,0.16896999,8.254
GOOG,1863783415808,5.4349585,1.01,0.55,0.3024193931523317,0.8337078651685393,0.30840408617696613,28.405,17.249163,5.4349585,0.34789002,0.16896999,8.254
AMZN,2049602093056,6.69882,1.308,,0.22075433505665357,0.7258426966292135,0.35817316856893266,28.82,31.49429,6.69882,0.2524,0.07632,51.641
AMCR,20897019904,3.4208553,0.78,5.6,0.10566247281739576,0.48314606741573035,0.24474739196755618,2.666,16.285713,3.4208553,0.20796,0.04917,241.41
AEE,26325176320,2.1546288,0.524,2.85,-0.03270976542073922,0.14831460674157304,0.20753563391945387,45.205,21.59645,2.1546288,0.10159001,0.02686,158.916
AEP,55919534080,2.0460498,0.435,3.46,0.15664111730732852,0.6089887640449438,0.20886890300214786,51.162,20.208494,2.0460498,0.10421,0.028900001,171.503
AXP,199324581888,6.391903,1.239,1.19,0.3959216911595872,0.9280898876404494,0.32559636999094943,44.511,19.8819,6.391903,0.34273,0.03727,170.351
