,PE,PB,ROE,ROA,DebtToEquity,Beta,MarketCap,DividendYield,52WeekChange,Momentum_6m,Volatility,Return_6m
MMM,17.425903,16.869198,0.93824,0.05448,312.492,1.06,75307663360,2.12,0.41945446,0.09452581885066591,0.3550289367300076,0.09452581885066591
AOS,19.0,5.2106633,0.27969998,0.13352999,15.945,1.255,9666252800,2.02,-0.20045072,-0.09596493176021093,0.2545301094084355,-0.09596493176021093
ABT,16.997404,4.665122,0.30649,0.063769996,27.087,0.801,227710271488,1.8,0.23588288,0.15872941894205073,0.20624177829213272,0.15872941894205073
ACN,25.127676,6.5340786,0.26965,0.11576,26.706,1.315,190969217024,1.97,-0.0104705095,-0.15366094802695307,0.2676824924828251,-0.15366094802695307
AFL,16.174185,2.1421216,0.14408,0.02341,29.429,0.803,56419270656,2.24,0.24408126,-0.03632737260673913,0.2244452802231344,-0.03632737260673913
A,25.016054,5.161855,0.20614,0.08392999,58.736,1.191,31096184832,0.93,-0.23657227,-0.16318691446627065,0.29602089496486317,-0.16318691446627065
APD,39.497837,4.153635,0.095790006,0.04665,98.306,0.897,60984004608,2.63,0.10692644,-0.11886650440205304,0.2778578929225931,-0.11886650440205304
ARE,41.77778,0.73255074,0.01476,0.013040001,61.193,1.267,13008772096,7.19,-0.39075595,-0.3076925832408125,0.2865694349398481,-0.3076925832408125
ALLE,19.722223,7.5099077,0.42051998,0.11533,133.636,1.021,12066263040,1.47,0.12866211,0.010821986803131178,0.25007290447073927,0.010821986803131178
LNT,22.64684,2.2326467,0.10014,0.02645,151.585,0.517,15648702464,3.35,0.19075716,0.04624078378442653,0.18971862982867407,0.04624078378442653
ALL,13.534494,2.618368,0.19723,0.03111,36.672,0.356,52472365056,2.03,0.172791,0.07209591708581087,0.2589454291798969,0.07209591708581087
GOOGL,18.20056,5.73473,0.34789002,0.16896999,8.254,1.035,1984908099584,0.52,-0.03551781,-0.03704148696654541,0.2993687030292741,-0.03704148696654541
GOOG,18.384212,5.7925963,0.34789002,0.16896999,8.254,1.035,1986574417920,0.52,-0.036688566,-0.035909083272656184,0.2970895386900982,-0.035909083272656184
AMCR,16.410713,3.4471118,0.20796,0.04917,241.41,0.784,20990416896,5.62,-0.09290707,-0.13890205881416284,0.22738535414782127,-0.13890205881416284
AEP,19.39785,2.1408226,0.113859996,0.02861,170.451,0.421,57798860800,3.46,0.2137698,0.1327398928757204,0.1907535574515212,0.1327398928757204
AXP,19.203352,6.173754,0.34273,0.03727,170.351,1.159,192521846784,1.22,0.16366947,0.021929969907206637,0.3170346742354852,0.021929969907206637
AIG,19.760443,1.1465045,0.057540003,0.00754,23.008,0.645,46949945344,1.98,0.030071378,0.05315040381644942,0.24253666586269226,0.05315040381644942
AMT,36.445793,29.828499,0.28421,0.04585,446.681,0.878,105441058816,3.04,0.2326951,0.07632998470207308,0.27303839365153015,0.07632998470207308
AWK,26.81421,2.7252533,0.10428,0.03475,137.735,0.671,28707717120,2.26,0.1373204,0.09697773696517031,0.22838604402206547,0.09697773696517031
AMP,15.99898,8.2815,0.58108,0.022219999,69.701,1.225,44935614464,1.36,0.12311733,-0.07828714016642968,0.2944852127393434,-0.07828714016642968
AME,27.834425,3.9283233,0.14964,0.07637,19.368,1.141,39178534912,0.74,0.0042027235,0.01702100551241159,0.249322249342975,0.01702100551241159
APH,38.51214,9.313807,0.27526,0.118219994,69.096,1.178,96136560640,0.84,0.28228962,0.15985655511239427,0.37846589144948234,0.15985655511239427
ADI,63.186302,2.8058972,0.04429,0.02616,21.725,1.059,98404114432,2.04,-0.029504597,-0.14929235003173802,0.4231296438434383,-0.14929235003173802
AON,30.915731,11.036222,0.72012,0.06008,254.468,0.816,77240655872,0.85,0.25563455,-0.03395520585883405,0.21710286808724288,-0.03395520585883405
APA,7.2709246,1.1422145,0.22242,0.07467,100.865,2.745,5969264128,6.17,-0.44565958,-0.27265478051057723,0.5005696736184272,-0.27265478051057723
APO,18.19891,4.7664585,0.22670001,0.01844,103.066,1.648,76204720128,1.34,0.25972962,-0.07998159185282894,0.4345662754902793,-0.07998159185282894
AMAT,20.052221,6.7001095,0.35186002,0.15558,35.372,1.603,124790947840,1.24,-0.27012593,-0.1883239560112776,0.48042457398007987,-0.1883239560112776
ADM,13.131507,1.0334865,0.07587,0.0233,51.438,0.651,23013877760,4.29,-0.1958763,-0.131153410755676,0.2668655994813095,-0.131153410755676
AIZ,13.243262,1.9075444,0.15332,0.01893,42.013,0.522,9747815424,1.67,0.08831215,-0.006158673200971632,0.24320692807902614,-0.006158673200971632
T,16.93865,1.9149674,0.10885,0.041739997,119.246,0.589,198670516224,4.02,0.64035606,0.27399552751246947,0.22805789726617445,0.27399552751246947
ATO,23.104586,2.0028815,0.09009,0.03504,66.587,0.68,25598064640,2.17,0.3424405,0.16166106352584486,0.16788097174215513,0.16166106352584486
ADP,30.755882,20.851084,0.76289004,0.055710003,72.864,0.749,122087047168,2.06,0.2348175,0.05452806556172618,0.190262775525602,0.05452806556172618
AVB,26.258385,2.5221937,0.096920006,0.02931,69.681,0.874,30093959168,3.35,0.08396864,-0.05637641732561827,0.2142753529614218,-0.05637641732561827
AVY,19.71922,6.20173,0.31949,0.08647,159.369,0.86,13396170752,2.22,-0.2353419,-0.16127188990753882,0.2174184691687901,-0.16127188990753882
