,MarketCap,Momentum_6m,Volatility,Return_6m
MMM,74742587392,0.053148924886082805,0.35921379720820995,0.053148924886082805
AOS,9372467200,-0.16105574364833553,0.2529932756572366,-0.16105574364833553
ABT,224387121152,0.1206179465917474,0.20659561479417865,0.1206179465917474
ABBV,329136406528,0.004186681973417983,0.2688245269140736,0.004186681973417983
ACN,183669768192,-0.20358831618536377,0.26802272247572334,-0.20358831618536377
ADBE,156722266112,-0.2542840093604324,0.37185618326472514,-0.2542840093604324
AMD,157012361216,-0.37276913607069284,0.5358144342915736,-0.37276913607069284
AES,7204513792,-0.39307746365066865,0.43002826713938724,-0.39307746365066865
AFL,59570253824,-0.027867290554189128,0.21998694239429692,-0.027867290554189128
A,30511712256,-0.20048968122509836,0.2961971593282905,-0.20048968122509836
APD,59812601856,-0.18155044100556972,0.27957261360897045,-0.18155044100556972
ABNB,75623219200,-0.09646725093984643,0.4134142980386852,-0.09646725093984643
AKAM,11658516480,-0.2434098083803684,0.4153873491259958,-0.2434098083803684
ALB,6843718144,-0.39577793609742185,0.5890756438994337,-0.39577793609742185
ARE,13365124096,-0.33885667510101547,0.2826203470810131,-0.33885667510101547
ALGN,13490470912,-0.13025943633174109,0.40961958961273776,-0.13025943633174109
ALLE,12004732928,-0.08679119575716165,0.25186605817270213,-0.08679119575716165
LNT,15754012672,0.011853573865643119,0.19039211596744063,0.011853573865643119
ALL,51664965632,0.010148183777927366,0.25909553879930786,0.010148183777927366
GOOGL,1953658830848,-0.017001534573278465,0.30228054975588703,-0.017001534573278465
GOOG,1953665515520,-0.015569082958222902,0.3001151110959286,-0.015569082958222902
MO,99005292544,0.20780563455132683,0.18587292070302938,0.20780563455132683
AMZN,2005637529600,-0.0037427067290456417,0.3373562122827241,-0.0037427067290456417
AMCR,13961980928,-0.11001899282849015,0.24484483049516745,-0.11001899282849015
AEE,26724001792,0.13628527881107133,0.18828420176082894,0.13628527881107133
AEP,56997879808,0.08908546907283355,0.19272927529430867,0.08908546907283355
AXP,187281309696,-0.02234282752715311,0.3179302053511498,-0.02234282752715311
AIG,48132112384,0.06534034362350494,0.24486582063397394,0.06534034362350494
AMT,98730811392,-0.03168614921451307,0.27234485045571377,-0.03168614921451307
AWK,28479426560,0.035103628648285756,0.22985498499366494,0.035103628648285756
AMP,45274644480,-0.09809980922244321,0.2950737163888329,-0.09809980922244321
AME,38590070784,-0.006825000868239783,0.25674719618593,-0.006825000868239783
AMGN,150868656128,-0.10726119175156879,0.2766839662082977,-0.10726119175156879
APH,92131958784,0.14006547416593707,0.3793158253325515,0.14006547416593707
ADI,96829538304,-0.12623924915218288,0.42504083053965236,-0.12623924915218288
ANSS,28108179456,-0.015261788158617229,0.2497688610365696,-0.015261788158617229
AON,78851194880,-0.0552337742332184,0.2155164669644626,-0.0552337742332184
APA,5913206784,-0.3329945696395159,0.5009026949699833,-0.3329945696395159
APO,76102025216,-0.06794465985984788,0.4361081083486507,-0.06794465985984788
AAPL,3143825096704,-0.11074112438158801,0.3282019611511989,-0.11074112438158801
AMAT,123125440512,-0.16799838558540203,0.48220848370099956,-0.16799838558540203
APTV,12832914432,-0.19733065355596247,0.4143591498707836,-0.19733065355596247
ACGL,34603487232,-0.11529421975441945,0.25957021786451595,-0.11529421975441945
ADM,23421999104,-0.1156425599702875,0.2700422686341583,-0.1156425599702875
ANET,97826136064,-0.21414157613718687,0.5278128968080508,-0.21414157613718687
AJG,84781334528,0.1265131373053905,0.21465373976219493,0.1265131373053905
AIZ,9827172352,-0.007804526725464167,0.2431740372817574,-0.007804526725464167
T,198105792512,0.2762077416511539,0.22842908779054522,0.2762077416511539
ATO,25344149504,0.12731618732796757,0.16872633391313238,0.12731618732796757
ADSK,57874337792,-0.06430261232701495,0.2932060932335685,-0.06430261232701495
ADP,119843921920,0.011994501157447823,0.1924356493130457,0.011994501157447823
AZO,60384452608,0.1378540762490248,0.21296487166241201,0.1378540762490248
AVB,29431910400,-0.06961112430083805,0.21541138363658788,-0.06961112430083805
AVY,13710080000,-0.18865419563979302,0.21731316833061753,-0.18865419563979302
AXON,47003123712,0.34289728646654205,0.5506615324726943,0.34289728646654205
BKR,36112838656,0.023681108433833087,0.3614405649686719,0.023681108433833087
BALL,14277083136,-0.2222930324995115,0.25710017703753635,-0.2222930324995115
BAC,300059557888,-0.05052839450292679,0.287408561245694,-0.05052839450292679
BAX,15598022656,-0.16581436854175413,0.3337393620646263,-0.16581436854175413
BDX,58885648384,-0.13649066464360615,0.21288406559850884,-0.13649066464360615
BRK-B,1146751549440,0.15063388867013194,0.1897848544835601,0.15063388867013194
BBY,14311862272,-0.26088819487820114,0.438912382339118,-0.26088819487820114
TECH,8027699712,-0.28015755502756634,0.41868182881396504,-0.28015755502756634
BIIB,17493248000,-0.36073157482692064,0.28011836892270886,-0.36073157482692064
BLK,142040776704,-0.08357809201184452,0.25937523888915415,-0.08357809201184452
BX,164354457600,-0.20068407776369968,0.38453946847809173,-0.20068407776369968
BK,56318984192,0.048256571983251284,0.24572600577431464,0.048256571983251284
BA,134175367168,0.11302221361998632,0.40421218530289116,0.11302221361998632
BKNG,157931028480,0.10932656588106493,0.2946753731192463,0.10932656588106493
BSX,150717235200,0.15782296389617323,0.2241529211785772,0.15782296389617323
BMY,99087859712,-0.07214464989890668,0.29988607082865787,-0.07214464989890668
AVGO,904231976960,0.07820677515325425,0.6329280975507154,0.07820677515325425
BR,27865776128,0.10441021357090552,0.21458494603391257,0.10441021357090552
BRO,33753278464,0.08831010643322657,0.20391802685116361,0.08831010643322657
BF-B,16335405056,-0.29497856523104027,0.32271688450384345,-0.29497856523104027
BLDR,13802713088,-0.32825905024022983,0.46287270481956594,-0.32825905024022983
BG,10839351296,-0.07893216247668355,0.27406692991286313,-0.07893216247668355
BXP,11647021056,-0.22008540385930309,0.31810306529451243,-0.22008540385930309
CHRW,10880392192,-0.15948504409060438,0.3170404838627266,-0.15948504409060438
CDNS,79449563136,0.15156459468230188,0.4141324941985957,0.15156459468230188
CZR,6029649408,-0.35393002639004423,0.4961429223394404,-0.35393002639004423
CPT,12405252096,-0.027216719712629955,0.21914590232646894,-0.027216719712629955
CPB,10949237760,-0.2188042305683916,0.24453443968270477,-0.2188042305683916
COF,70866526208,0.17849354792266703,0.39665222017142604,0.17849354792266703
CAH,33230094336,0.23550141813340053,0.2197486402812031,0.23550141813340053
KMX,10028275712,-0.09023509058091095,0.3772638583749936,-0.09023509058091095
CCL,25335990272,-0.13286714592541438,0.4985251467247824,-0.13286714592541438
CARR,52107096064,-0.24615357728707832,0.3136049346175759,-0.24615357728707832
CAT,146658099200,-0.20441119717656508,0.3070508057244329,-0.20441119717656508
CBOE,22365435904,-0.0008420635775489016,0.22612063234920582,-0.0008420635775489016
CBRE,36846432256,-0.016295933718696642,0.30713804156837227,-0.016295933718696642
CDW,20943063040,-0.26738537099360427,0.3305435841514146,-0.26738537099360427
COR,55382544384,0.22643132371117725,0.1933669454600847,0.22643132371117725
CNC,30547372032,-0.05519165854549335,0.3341625920096787,-0.05519165854549335
CNP,24927680512,0.2989411349284048,0.20572964864585544,0.2989411349284048
CF,13062666240,-0.053310851365987566,0.32109791199593474,-0.053310851365987566
CRL,5685634048,-0.38334945597173886,0.5020384503892621,-0.38334945597173886
SCHW,145164648448,0.13496624368047283,0.3064692797183756,0.13496624368047283
CHTR,53063528448,0.1328906239735177,0.4072714172114744,0.1328906239735177
CVX,242916229120,-0.06109457481571834,0.2513162792769767,-0.06109457481571834
CMG,69766299648,-0.13527057689268196,0.3377989456417424,-0.13527057689268196
CB,113011073024,-0.05448713243541825,0.21258594788585697,-0.05448713243541825
CHD,24662644736,-0.027694522383942433,0.19368855989401115,-0.027694522383942433
CI,91010998272,0.06603140468577173,0.26853200472019534,0.06603140468577173
CINF,21192540160,-0.024100458471316033,0.2513959568810107,-0.024100458471316033
CTAS,84694384640,-0.011198146589561864,0.25258876276791825,-0.011198146589561864
CSCO,225608810496,0.015506049173485748,0.2282049372995383,0.015506049173485748
C,127806709760,0.09368912268379637,0.3391725861991513,0.09368912268379637
CFG,16386301952,-0.0925225511259894,0.34927299132158346,-0.0925225511259894
CLX,17033482240,-0.11020582386153022,0.21867556061257765,-0.11020582386153022
CME,95969189888,0.21851160247958035,0.1735504117558828,0.21851160247958035
CMS,22177017856,0.031959540036905265,0.17018546636552515,0.031959540036905265
KO,312094457856,0.05097340104185366,0.16456872355142285,0.05097340104185366
CTSH,35696435200,-0.04113373178874846,0.24967526787010022,-0.04113373178874846
CL,76168904704,-0.047148933693057504,0.20056994353889,-0.047148933693057504
CMCSA,126252425216,-0.16979453664712418,0.28250333910018094,-0.16979453664712418
CAG,11895878656,-0.1490896992915366,0.23890604242454067,-0.1490896992915366
COP,116050567168,-0.11323386225901821,0.3216107884545536,-0.11323386225901821
ED,40086720512,0.0633921771649657,0.18969342985021637,0.0633921771649657
STZ,33383944192,-0.22503086102925562,0.2910390407028276,-0.22503086102925562
CEG,69865005056,-0.15880514294910952,0.693066772984722,-0.15880514294910952
COO,16512399360,-0.23566098469146834,0.28954132108073216,-0.23566098469146834
CPRT,59868782592,0.16957944848869277,0.24409684137925614,0.16957944848869277
GLW,37852409856,-0.05516969630716162,0.34479766274583606,-0.05516969630716162
CPAY,22622576640,-0.07719861978728726,0.3390198954569273,-0.07719861978728726
CTVA,42148814848,0.045419320466724145,0.2675840649096912,0.045419320466724145
CSGP,35099115520,0.0774033658858786,0.2982007397543557,0.0774033658858786
COST,433549279232,0.09630723795549212,0.2218457492384512,0.09630723795549212
CTRA,19453892608,0.09643297884889268,0.2824941840632109,0.09643297884889268
CRWD,105316278272,0.3772000629917771,0.5289987901554052,0.3772000629917771
CCI,43869995008,-0.05705944319987777,0.2625554047078837,-0.05705944319987777
CSX,52862312448,-0.17147621996595352,0.2518754490554637,-0.17147621996595352
CMI,40490704896,-0.10457762385182956,0.3061542844240552,-0.10457762385182956
CVS,83216375808,0.17558689249400983,0.4122632865416018,0.17558689249400983
DHR,141087178752,-0.24344969037093178,0.28469455212896233,-0.24344969037093178
DRI,23456768000,0.2541556668761378,0.3033197234573863,0.2541556668761378
DVA,11164800000,-0.1446433290868836,0.32309615141131853,-0.1446433290868836
DAY,9149126656,-0.107043508173434,0.4016408706960839,-0.107043508173434
DECK,16793750528,-0.2912041526885233,0.4876817606315864,-0.2912041526885233
DE,126074626048,0.13775908283431204,0.2893500185224072,0.13775908283431204
DELL,65876148224,-0.20364603385705315,0.5929888010663409,-0.20364603385705315
DAL,27437189120,-0.23939171422875316,0.46904775301760915,-0.23939171422875316
DVN,20245579776,-0.20888451103109462,0.396872780492225,-0.20888451103109462
DXCM,28098390016,-0.01943073526774186,0.5644201134465514,-0.01943073526774186
FANG,40218791936,-0.24790161962028978,0.38551640845919544,-0.24790161962028978
DLR,53839429632,-0.017937394996379807,0.29645150831709244,-0.017937394996379807
DFS,47165919232,0.2805327910871849,0.4464405460827653,0.2805327910871849
DG,20633253888,0.16989570809141163,0.46580706564207336,0.16989570809141163
DLTR,17471201280,0.20361512931447145,0.47959999018064015,0.20361512931447145
D,45465677824,-0.09683178230252854,0.2333738811030381,-0.09683178230252854
DPZ,16735939584,0.15085651070445705,0.31671364541178604,0.15085651070445705
DASH,78650408960,0.23089027645778004,0.3877756095549084,0.23089027645778004
DOV,23269296128,-0.11244649933166484,0.27248150959887657,-0.11244649933166484
DOW,21219997696,-0.4034170710882057,0.34425113266931795,-0.4034170710882057
DHI,38717108224,-0.3058035797807258,0.34411232637158307,-0.3058035797807258
DTE,28425734144,0.06907011707968969,0.1891637614873928,0.06907011707968969
DUK,93786456064,0.018620503666980426,0.17586835380660804,0.018620503666980426
DD,27641827328,-0.21873698480233228,0.32428650112564433,-0.21873698480233228
EMN,9331505152,-0.2789826245728785,0.31204270812041657,-0.2789826245728785
ETN,113150722048,-0.15385371211932242,0.38506506622173925,-0.15385371211932242
EBAY,31608780800,0.08061952780431025,0.2913541202469416,0.08061952780431025
ECL,67978256384,-0.0730229618731576,0.20547368046521827,-0.0730229618731576
EIX,22408378368,-0.30702729052213495,0.2962179896371998,-0.30702729052213495
EW,44540813312,0.09820917477693891,0.41529826230067174,0.09820917477693891
EA,38206599168,0.008653616094904892,0.28284340955841786,0.008653616094904892
ELV,96878444544,0.01272041472723795,0.2724773312272948,0.01272041472723795
EMR,59367395328,-0.03032491197969922,0.3204260389162882,-0.03032491197969922
ENPH,6144423936,-0.49224764039289026,0.643033251609679,-0.49224764039289026
ETR,36602707968,0.2731001337271486,0.2716342525067481,0.2731001337271486
EOG,62578249728,-0.08118080791898885,0.2891615438355085,-0.08118080791898885
EPAM,9010328576,-0.19616065890219503,0.4854470347234832,-0.19616065890219503
EQT,30074970112,0.40678311353740804,0.37462822237336774,0.40678311353740804
EFX,31944073216,-0.05438593076298792,0.34345276004003394,-0.05438593076298792
EQIX,81981521920,-0.036338873304812,0.2752559115770771,-0.036338873304812
EQR,27894517760,-0.0578696529163375,0.22576156704162104,-0.0578696529163375
ERIE,21372452864,-0.22222129658941336,0.328363625518013,-0.22222129658941336
ESS,19082645504,-0.044857577978149266,0.23828048335967628,-0.044857577978149266
EL,21097287680,-0.3154470929854214,0.5112988306970866,-0.3154470929854214
EG,15151759360,-0.07364019978663017,0.25864876000668907,-0.07364019978663017
EVRG,15705326592,0.12656962758436952,0.15767255344138228,0.12656962758436952
ES,21485326336,-0.10487274832088966,0.2395464235510619,-0.10487274832088966
EXC,46771867648,0.16259918817708874,0.1928682881005559,0.16259918817708874
EXE,24503310336,0.2629118098087233,0.2763638410945803,0.2629118098087233
EXPE,20353024000,-0.004615512752114803,0.45671160484193385,-0.004615512752114803
EXPD,15288281088,-0.09121828030924561,0.24283734193133152,-0.09121828030924561
EXR,31433275392,-0.1325601322087966,0.25973738049177814,-0.1325601322087966
XOM,469856223232,-0.08499383372534297,0.23794009766393076,-0.08499383372534297
FFIV,15567850496,0.24403391604390046,0.3255287728107343,0.24403391604390046
FDS,16247013376,-0.08325868501419198,0.22217821193849432,-0.08325868501419198
FICO,47719923712,-0.03723697847705687,0.3375664820598249,-0.03723697847705687
FAST,47094251520,0.07207136468434139,0.25407586699152496,0.07207136468434139
FRT,8250954752,-0.15704266971598158,0.22644620038485963,-0.15704266971598158
FDX,51679031296,-0.20765386199704572,0.36338995275524427,-0.20765386199704572
FIS,42306453504,-0.10574222090616536,0.2736981393658686,-0.10574222090616536
FITB,23878313984,-0.17703202819741393,0.28356941964421656,-0.17703202819741393
FSLR,15213066240,-0.29563056152193923,0.5803667066110241,-0.29563056152193923
FE,24435515392,-0.013797375777902743,0.20271771277977152,-0.013797375777902743
FI,97923596288,-0.1108829548388901,0.3066608080468841,-0.1108829548388901
F,40004079616,-0.05409756762881046,0.3816088788976066,-0.05409756762881046
FTNT,78281555968,0.23483745799390987,0.42486995243570636,0.23483745799390987
FTV,23424253952,-0.08965314440890115,0.26239263056939227,-0.08965314440890115
FOXA,21454319616,0.1742398573136943,0.2544723524741967,0.1742398573136943
FOX,21454309376,0.18930777928422615,0.2537972202078914,0.18930777928422615
BEN,9851212800,-0.051254560945718675,0.3433638762012804,-0.051254560945718675
FCX,52682170368,-0.2239903097443643,0.4557790272217315,-0.2239903097443643
GRMN,38356705280,0.22927061003637372,0.4155971912767672,0.22927061003637372
IT,32199206912,-0.20557127581373602,0.2621479821928874,-0.20557127581373602
GE,211603767296,0.1271541773273852,0.34517876299620603,0.1271541773273852
GEHC,31325618176,-0.233190040132072,0.35675384707795305,-0.233190040132072
GEV,101646458880,0.34933832609172555,0.5809604167318172,0.34933832609172555
GEN,15567763456,-0.060093281564180145,0.3070820142651644,-0.060093281564180145
GNRC,6784677888,-0.325788355568419,0.39755733598802223,-0.325788355568419
GD,72995659776,-0.10150202461436653,0.22175778228213716,-0.10150202461436653
GIS,30879186944,-0.1706717041405994,0.21759613489406351,-0.1706717041405994
GM,45521498112,-0.11899360875356069,0.36971228408980605,-0.11899360875356069
GPC,16250866688,0.04812302995804085,0.32981957522517175,0.04812302995804085
GILD,132329963520,0.18837724750286244,0.25006762392852977,0.18837724750286244
GPN,17821093888,-0.2665955915134415,0.40058660692132414,-0.2665955915134415
GL,10315447296,0.11169264978102222,0.2950243108612839,0.11169264978102222
GDDY,25924689920,0.12068439191322389,0.30535228029461253,0.12068439191322389
GS,169495576576,0.06169091580291419,0.3395905685970525,0.06169091580291419
HAL,18282614784,-0.25244498739885457,0.38575748810293925,-0.25244498739885457
HIG,33876410368,-0.0022523834787351316,0.23399511945554263,-0.0022523834787351316
HAS,8546285056,-0.12218998518367552,0.3646995221189205,-0.12218998518367552
HCA,84056391680,-0.19308710509806826,0.28528063843363344,-0.19308710509806826
DOC,13140585472,-0.1770590810529532,0.22872070587378274,-0.1770590810529532
HSIC,8113990656,-0.08456249565963658,0.28989345137639716,-0.08456249565963658
HSY,33218336768,-0.09514541728670411,0.2693061965333691,-0.09514541728670411
HES,40946393088,-0.03891913455411811,0.2875980081881419,-0.03891913455411811
HPE,21332539392,-0.17176227859712645,0.479441040805143,-0.17176227859712645
HLT,52624023552,-0.07665991574282505,0.2478905670704475,-0.07665991574282505
HOLX,13096449024,-0.2887962839481396,0.220762279879727,-0.2887962839481396
HD,357456281600,-0.09980300764252903,0.23164120654732873,-0.09980300764252903
HON,129127383040,-0.09506825493350957,0.23650801043361644,-0.09506825493350957
HRL,16601856000,-0.026081666802911685,0.23417990458433038,-0.026081666802911685
HST,9787648000,-0.185963505757059,0.28870229289974614,-0.185963505757059
HWM,54910029824,0.3245311304378895,0.411624005479862,0.3245311304378895
HPQ,23878680576,-0.2892389258510122,0.39509689911439805,-0.2892389258510122
HUBB,19301421056,-0.1922457008893408,0.3519498324853855,-0.1922457008893408
HUM,32325013504,0.01480997772160686,0.41960454426623517,0.01480997772160686
HBAN,21196656640,-0.05497122447413649,0.3263113865225238,-0.05497122447413649
HII,8869207040,-0.10789996569960758,0.4568527973724673,-0.10789996569960758
IBM,216001150976,0.015294724477251886,0.27406146086799715,0.015294724477251886
IEX,13128814592,-0.1651779090672999,0.26803526674264283,-0.1651779090672999
IDXX,35736571904,-0.05211377993432664,0.3189072739483322,-0.05211377993432664
ITW,71015096320,-0.05676181575311956,0.21878424629014862,-0.05676181575311956
INCY,11448880128,-0.09803318874046008,0.34603833258057776,-0.09803318874046008
IR,30529531904,-0.23813936239016897,0.32437005237661193,-0.23813936239016897
PODD,18308644864,0.10190187966865083,0.3701453823161663,0.10190187966865083
INTC,93709082624,-0.10491073310223198,0.6285931305139179,-0.10491073310223198
ICE,93775306752,-0.010701956495060672,0.18891234000354235,-0.010701956495060672
IFF,19599548416,-0.2588555084307361,0.2692784587896341,-0.2588555084307361
IP,25142706176,0.012821464782912573,0.34402148766673774,0.012821464782912573
IPG,9272947712,-0.15619385457584412,0.27588911005033856,-0.15619385457584412
INTU,174480228352,0.027330458177371453,0.33764185526768475,0.027330458177371453
ISRG,184438325248,-0.005623136511171523,0.34066927726722646,-0.005623136511171523
IVZ,6297724928,-0.20996059934685973,0.3759429357820381,-0.20996059934685973
INVH,20758347776,0.010377126416374782,0.22286927567602952,0.010377126416374782
IQV,26567098368,-0.3417433343387781,0.322725444487757,-0.3417433343387781
IRM,25874593792,-0.2807661278038608,0.33069512422424235,-0.2807661278038608
JBHT,13190945792,-0.2576815946096168,0.3184260596434628,-0.2576815946096168
JBL,15771126784,0.1859417503997307,0.40792497408487016,0.1859417503997307
JKHY,12577764352,-0.06139795890067423,0.21243354120199243,-0.06139795890067423
J,14990796800,-0.13848657942187026,0.23997701711390926,-0.13848657942187026
JNJ,372772765696,-0.039047990615247885,0.1914346289957654,-0.039047990615247885
JCI,53517467648,0.06745269950030863,0.32512616469677474,0.06745269950030863
JPM,679879573504,0.09903515147175113,0.28696948923533105,0.09903515147175113
JNPR,11900260352,-0.08041840486348262,0.14593308242363306,-0.08041840486348262
K,28573550592,0.035336954900588635,0.22810861016621997,0.035336954900588635
KVUE,44149059584,0.02228563182210941,0.27993473752430803,0.02228563182210941
KDP,46802923520,-0.05511547174840781,0.18789426311455928,-0.05511547174840781
KEY,16535271424,-0.12280390377703143,0.37231127050595353,-0.12280390377703143
KEYS,24886511616,-0.07305616670266268,0.373786478203315,-0.07305616670266268
KMB,43912597504,-0.027456241020380245,0.19054932023329624,-0.027456241020380245
KIM,13882159104,-0.13497357594991877,0.23225828209418428,-0.13497357594991877
