,MarketCap,PriceToBook,Beta,DividendYield,Return_6m,Momentum_6m,Volatility,BookValue,PE,PB,ROE,ROA,DebtToEquity
MMM,76744613888,17.19108,1.076,2.11,0.16672586063606745,0.4318181818181818,0.24862494572497482,8.295,17.758408,17.19108,0.93824,0.05448,312.492
AOS,9704623104,5.2313466,1.278,2.03,0.2644259468904211,0.6272727272727273,0.31864969003860316,13.054,19.07542,5.2313466,0.27969998,0.13352999,15.945
ABT,231816298496,4.749243,0.743,1.76,-0.009420448901739742,0.10681818181818181,0.2645691986031201,28.055,17.303898,4.749243,0.30649,0.063769996,27.087
ACN,192753401856,6.5951247,1.344,1.93,0.13030588201535312,0.36818181818181817,0.2514767126614153,46.686,25.40429,6.5951247,0.26965,0.11576,26.706
ADBE,163353935872,12.7322855,1.551,,0.03957823392894739,0.175,0.3252553527352096,30.103,25.33245,12.7322855,0.47284,0.17194,50.118
AMD,166744768512,2.878334,1.968,,-0.07317358302748087,0.04318181818181818,0.4809773984383633,35.729,75.06569,2.878334,0.03904,0.0256,8.174
AES,7916583936,2.282899,0.938,6.77,0.2328759327265733,0.5772727272727273,0.38205085017485374,4.871,6.043478,2.282899,0.05583,0.02399,361.561
AFL,57487982592,2.1826982,0.829,2.17,0.27990703146483364,0.6522727272727272,0.3095997111437994,48.55,16.48056,2.1826982,0.14408,0.02343,42.513
A,30486065152,5.0605774,1.269,0.92,0.20636471194223716,0.5,0.22724866086592138,21.13,24.469109,5.0605774,0.20614,0.08392999,58.736
APD,60338356224,4.103678,0.89,2.71,0.10018789681024823,0.30454545454545456,0.2769576379176068,66.07,39.1241,4.103678,0.095790006,0.047020003,98.527
AKAM,11141269504,2.3449273,0.821,,0.09135351617308048,0.2840909090909091,0.3034733190365925,32.517,23.318043,2.3449273,0.09821,0.03916,100.746
ARE,12813294592,0.721543,1.289,7.34,0.12884601398985926,0.3659090909090909,0.22434687405868142,102.655,97.460526,0.721543,0.01476,0.013040001,61.193
ALGN,13315490816,3.5262415,1.683,,0.248117729692429,0.6,0.5635224896426186,51.579,33.12933,3.5262415,0.108430006,0.06719,3.124
ALLE,12206093312,7.5969367,1.036,1.45,0.22676731540139103,0.5613636363636364,0.31443053079670263,18.672,19.922754,7.5969367,0.42051998,0.11533,133.636
LNT,15864475648,2.2634318,0.577,3.28,0.09713107020506283,0.29545454545454547,0.21621728017758274,27.286,22.959106,2.2634318,0.10712,0.02735,149.852
ALL,53662720000,2.6777666,0.316,1.96,0.3351188002537702,0.7386363636363636,0.24741928513236683,75.675,13.850991,2.6777666,0.19723,0.03111,36.672
GOOGL,1861411536896,5.3775744,1.01,0.55,0.3324863935542549,0.7295454545454545,0.28143847346804646,28.405,17.04799,5.3775744,0.34789002,0.16896999,8.254
