,MarketCap,PriceToBook,Beta,DividendYield,Return_6m,Momentum_6m,Volatility,BookValue,PE,PB,ROE,ROA,DebtToEquity
MMM,0.7403189066059225,0.9020501138952164,0.5785876993166287,0.4738041002277904,0.43052391799544426,0.4305239179954442,0.16400911161731208,0.09111617312072892,0.3211845102505695,0.9020501138952164,0.949886104783599,0.49658314350797267,0.9294643925242159
AOS,0.04555808656036446,0.6492027334851936,0.765375854214123,0.46674319468608555,0.6264236902050113,0.6264236902050114,0.48747152619589973,0.1867881548974944,0.357630979498861,0.6492027334851936,0.7220956719817767,0.9043280182232347,0.08675234363785342
ABT,0.929384965831435,0.6241457858769931,0.26879271070615035,0.41002277904328016,0.10478359908883826,0.10478359908883826,0.2505694760820045,0.4419134396355353,0.2984054669703872,0.6241457858769931,0.7539863325740318,0.5785876993166287,0.15775403875646674
ACN,0.9111617312072893,0.7198177676537585,0.826879271070615,0.4556593367173067,0.3667425968109339,0.36674259681093396,0.17995444191343962,0.6651480637813212,0.5671981776765376,0.7198177676537585,0.7061503416856492,0.8701594533029613,0.15210401794161346
ADBE,0.8815489749430523,0.8701594533029615,0.9339407744874709,,0.17312072892938496,0.17312072892938496,0.5193621867881548,0.4806378132118457,0.5626423690205011,0.8701594533029615,0.8815489749430523,0.9681093394077451,0.30883288597540576
AMD,0.8838268792710706,0.4259681093394106,0.9863325740318906,,0.04100227790432802,0.04100227790432802,0.8883826879271071,0.5558086560364465,0.9407744874715261,0.4259681093394106,0.05239179954441913,0.16173120728929372,0.05078735562850061
AES,0.02050113895216401,0.3348519362186788,0.4236902050113895,0.980880979257864,0.5763097949886105,0.5763097949886105,0.715261958997722,0.04783599088838269,0.0,0.3348519362186788,0.07972665148063812,0.14123006833712984,0.9399909740620526
AFL,0.6605922551252847,0.3143507972665149,0.33029612756264237,0.4943052391799544,0.6514806378132119,0.6514806378132119,0.45558086560364464,0.6742596810933941,0.2528473804100229,0.3143507972665149,0.44874715261959,0.13211845102505695,0.2673745340504021
A,0.4419134396355353,0.6355353075170843,0.7539863325740318,0.1765375854214123,0.4988610478359909,0.4988610478359909,0.10022779043280182,0.3462414578587699,0.5398633257403189,0.6355353075170843,0.6150341685649202,0.7562642369020501,0.36095621061326766
APD,0.6697038724373576,0.5694760820045558,0.3815489749430524,0.6187845303867403,0.30296127562642367,0.30296127562642367,0.32801822323462415,0.8337129840546696,0.8109339407744874,0.5694760820045558,0.2574031890660593,0.41913439635535304,0.6192077165065313
AKAM,0.0888382687927107,0.3416856492027335,0.32574031890660593,,0.2824601366742597,0.2824601366742597,0.4350797266514807,0.5125284738041002,0.5125284738041003,0.3416856492027335,0.26879271070615035,0.33940774487471526,0.6287330766535619
ARE,0.11389521640091116,0.01366742596810934,0.7744874715261959,0.9911104518726492,0.3644646924829157,0.3644646924829157,0.0933940774487472,0.9225512528473804,0.9658314350797266,0.01366742596810934,0.01594533029612756,0.06605922551252848,0.3758987515599702
ALGN,0.12300683371298404,0.5148063781321184,0.9567198177676538,,0.5990888382687927,0.5990888382687927,0.9544419134396355,0.7084282460136674,0.7243735763097949,0.5148063781321184,0.30979498861047833,0.6036446469248291,0.016722928214927265
ALLE,0.10250569476082004,0.7562642369020506,0.5330296127562643,0.3396694709805635,0.5603644646924829,0.5603644646924829,0.4715261958997722,0.2984054669703872,0.3917995444191344,0.7562642369020506,0.8656036446469249,0.865603644646927,0.7107337441718129
LNT,0.17312072892938496,0.32801822323462415,0.15945330296127586,0.7320441988950277,0.2938496583143508,0.2938496583143508,0.07289293849658314,0.42824601366742604,0.5056947608200455,0.32801822323462415,0.3075170842824601,0.17995444191343962,0.7588054994471126
ALL,0.642369020501139,0.3917995444191344,0.03189066059225512,0.4587742912883784,0.7380410022779045,0.7380410022779044,0.1594533029612756,0.8633257403189065,0.16173120728929385,0.3917995444191344,0.5876993166287016,0.24145785876993164,0.22836355302244107
GOOGL,0.9886104783599292,0.6537585421412301,0.511389521640091,0.0592255125284738,0.7289293849658314,0.7289293849658314,0.3439635535307517,0.4498861047835991,0.28018223234624146,0.6537585421412301,0.8075170842824602,0.9612756264236901,0.05466970387243736
